tag,category
ScheduleOfSevenFiveZeroZeroZeroStockOptionsValuationAugustOneThreeTwoZeroOneFiveZeroThreeFourEightOneThreeNineEightTwoTcLThreeTdLxJXFg,Equity
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestEffectsOfChangesNetZeroThreeFourEightEightThreeNineEightNineqOneCThreeXpslgxSQ,Other
PaymentsForDepositsForPurchaseOfProductiveAssets,Assets
IncreaseDecreaseInAdvancesFromBorrowersForTaxesAndInsuranceNet,Other
LoansheldforinvestmentNetUnrealizedGain,Assets
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFourEightEightThreeNineEightNinecFiveVSevenvwmmOnenpF,Cash Flow
SellingCommissionsAndDealManagerFeesIncurred,Other
RatioOfAllowanceForLoanAndLeaseLossesToTotalGrossLoansAndLeases,Other
PaymentOfContingentConsideration,Cash Flow
StatutoryAccountingPracticesPortionOfExcessRetainedEarningsNotTaxed,Equity
LoansAndLeasesReceivableNetOfDeferredIncomeIncludingCoveredLoans,Assets
RealEstateIncomeNet,Other
DvdSubscriptionAndOtherRevenues,Revenue
LongtermInvestmentsAndNotesReceivableNoncurrent,Assets
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesForfeituresAvailableForReGrant,Equity
DeferredCostsCurrentAndNoncurrentAccumulatedAmortization,Expenses
ScheduleOfShorttermDebtZeroThreeFourNineFiveThreeNineNineFourThreekOnebhyHyzSixXp,Liabilities
RoyaltiesFutureMinimumPaymentsDueInFiveYears,Cash Flow
InvestmentsandCashAmountthatBecameUnrestrictedDuringthePeriod,Assets
ImpactOnFairValueOfTwentyFiveBasisPointsDecrease,Other
DeferredSharesSharesOutstanding,Liabilities
ConvertiblePromissoryNotesPayableRelatedPartiesCurrent,Liabilities
RevenueTechnologyUk,Revenue
StockIssuedDuringPeriodSharesIssuedForConversionOfDebt,Liabilities
NumberOfThemeParks,Other
ConvertibleStockIssuedByReDesignationOfOrdinaryShares,Equity
OtherDebtors,Liabilities
AssignmentOfRelatedPartyNotesPayableToAnUnrelatedThirdParty,Liabilities
CashAndCashEquivalentsAtCarryingValueHeldAtTwoFinancialInstitutions,Assets
PolicyLoansPercentOfTotalInvestments,Assets
StoreClosingReserve,Other
AmortizationOfIntangibleAssetsLessCapitalizedSoftwareDevelopmentCostsAndAcquiredDataSets,Expenses
IncreaseDecreaseinDuefromRelatedPartiesInvestingActivities,Other
NetCashFromAcquitionNetOfPaidForPrefrredStock,Assets
ShareBasedCompensationArrangementShareBasedPaymentAwardOptionsPercentageOfOutstandingOptions,Cash Flow
DosimetryDevicesAccumulatedDepreciation,Expenses
AreaOfRealEstatePropertyAcquired,Assets
FreshStartAdjustmentIncreaseDecreaseInvestments,Assets
Cashreceivablefromexercisedbutunsettledstockoptionsasofperiodend,Assets
EquityIssuancePerShareAmountAPSettlement,Equity
StockOfferingMaximumNumberofSharesAvailableForSaleThroughAtTheMarketEquityOfferingProgramATMProgram,Equity
CustomerAcquisitionCostCurrent,Other
OtherAccruedExpensesAndLiabilitiesNoncurrent,Expenses
GainLossonHedgeIneffectiveness,Other
DisposalOfFullyDepreciatedRealEstate,Other
ChangesinEstimatesatCompletion,Other
EmployeeServiceShareBasedCompensationNonvestedAwardsCompensationCostNotYetRecognizedDueInThreeYears,Other
ElectronicBankingExpense,Expenses
PrincipalPaymentsReceivedOnAvailableForSaleSecurities,Revenue
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsPrevestCancellationRate,Cash Flow
CiprofloxacinSettlement,Other
RestructuringChargesBusinessRealignment,Other
NoninterestIncomeFromTrust,Other
FreshstartAdjustmentIncreaseDecreaseOilAndGasPropertyFullCostMethodNet,Assets
PeriodOverPriorYearPeriodPercentIncreaseDecreaseServiceExpenses,Expenses
Operatingexpensespaidbyothers,Cost
CommonUnitsIssuedDuringPeriod,Other
SummaryOfSignificantAccountingPoliciesZeroThreeFiveZeroNineFourZeroZeroSevenXwgQEightdTThreeSqGZ,Other
MarketableSecuritiesReclassification,Assets
AccruedCustomerAllowances,Other
CapitalStockZeroThreeFiveFourNineFourZeroFourFivewSixhtgRpCCGNK,Equity
NoncashorPartNoncashAcquisitionValueofWorkingCapitalAcquired,Assets
EstimatedAmortizationOnLongtermRentConcessionYearFour,Expenses
AmountOfSharesPledged,Equity
NoncashProjectAbandonmentCosts,Expenses
SiteContingencyNumberofPotentiallyResponsibleParties,Other
FinancingReceivableModificationsPostModificationRecordedInvestmentNumberOfContracts,Assets
NumberOfUnconsolidatedJointVenturePartnerships,Other
StockIssuedToSettleAccountsPayableAmount,Liabilities
UnrealizedGainsLossesOnInvestmentsCarriedAtCost,Assets
CapitalizedExploratoryWellCostsGreaterThanOrEqualToOneYearAndLessThanThreeYears,Expenses
SegmentReportingReconcilingItemInLossesAndOtherExpensesFromSegmentToConsolidatedAmount,Expenses
FinancingReceivableModificationsPostModificationInvestmentRecorded,Assets
AssignmentOfNotesPayableToConvertibleNotes,Liabilities
EffectiveIncomeTaxRateReconciliationStockOptions,Equity
PreciousMetalsStatedUnderNonLIFOCostMethods,Other
MortgagesReceivableFromAffiliate,Assets
StockIssuedDuringPeriodValueIssuedForServicesFour,Equity
ScheduleOfNetRevenuesFromManufactureOfBatteriesByGeographicalAreasZeroThreeFiveThreeEightZeroPDHnHQwDOneqJP,Revenue
TotalFixedMaturitySecuritiesFairValue,Assets
OptionActivityAttributableToNoncontrollingInterestHolders,Other
DispositionsAtCost,Other
SummaryOfSignificantAccountingPoliciesZeroThreeFourNineFiveZeroPNTPSevenSGCwTwogFive,Other
IntersegmentRevenueEliminatedInConsolidation,Revenue
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsExercisableWeightedAverageGrantDateFairValue,Equity
PercentageTotalOfMaturityDistributionOfTimeDeposits100000OrMore,Other
DisposalGroupsIncludingDiscontinuedOperationsZeroThreeFiveOneEightZeroFivenTSixTKSevensZCTwoh,Other
CostOfOnboardAndOther,Other
EsppShareDiscount,Other
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroJBDfdTwopGzTwoWB,Cash Flow
PutableAdvances,Other
CarriedInterestNonconsolidatedCarryingAmount,Other
PaymentsToAcquireLoansAndLeasesHeldForInvestment,Assets
AccumulatedOtherComprehensiveIncomeLossDeferredGainLossDerivativesQualifyingAsHedgesBeforeTax,Liabilities
ScheduleOfProvisionForIncomeTaxesZeroThreeFiveThreeFourZeroBDdbPwTCzqyk,Income
TaxesOtherThanIncome,Other
ScheduleOfSubsidiariesAndVariableInterestEntityZeroThreeFiveZeroNineZeronxlwFhdFiveWnCk,Other
OperatingLeasesFutureMinimumPaymentsDueinThreeYearsFutureMinimumSubleaseRentals,Cash Flow
WeightedAverageExercisePriceWarrantsIssued,Other
CapitalLeasesFutureMinimumPrincipleDueCurrent,Equity
IndemnificationClaimsNumberDuringPeriod,Other
PrincipalActivitiesBasisOfPresentationAndOrganizationZeroThreeFiveThreeEightZeroxOneMphThreewsRPhq,Other
ProfessionalFeesRelatedtoFinancialReporting,Other
GainOnSaleOfLandTotal,Cash Flow
SharesIssuedToPriorYearInvestors,Equity
ProceedsFromOptionAndWarrantExercises,Cash Flow
OptionsExpense,Expenses
SupplyAgreementFutureMinimumPaymentsDueNextTwelveMonths,Cash Flow
IncomeTaxesZeroThreeFourNineFiveZeroTXwSevenZSFourQpLfOne,Income
DeferredTaxAssetsTaxDeferredExpenseReservesAndDepreciationAndOtherLiabilities,Expenses
IncomeTaxConcessionImpactonBasicEarningsperShare,Income
DistributionspaidtocommonunitholdersPublic,Other
AdvancesMadeDirectlyOrIndirectlyToExecutiveOfficersForPersonalBenefits,Other
ProceedsFromSaleOfRestrictedStockToCoverTaxes,Equity
TradeAccountsReceivableNetZeroThreeTwoSevenOneThreeSevenSixFiveSevenhZStTbmhrwR,Assets
InitialPublicOfferingExpenses,Expenses
ConsiderationReceivedFromNonCashExchangesOfInvestmentSecurities,Assets
DiscontinuedOperationNumberofBusinessesSold,Other
ConvertibleNote5AdarOriginalBorrowing,Other
VoyageExpensesRelatedParties,Expenses
SoftwareDeliverySupportAndMaintenanceRevenue,Revenue
LoansAndLeasesReceivableOtherAllowances,Assets
InvestmentsOfConsolidatedInvestmentProducts,Assets
OfficeAndOther,Other
DividendsPayableAnnualDividendRateAmountPerShare,Liabilities
AdvisorExpenseReimbursementAlternative2,Expenses
TradingSecuritiesEquityCost,Assets
DebtInstrumentNoncurrentPortionOfUnamortizedDiscount,Liabilities
FutureAllocatedShareBasedCompensationExpenseYearThree,Expenses
InventoryNetProfitIncludedInCommisions,Assets
NetProceedsFromSaleVessels,Cash Flow
RevenueShareAndRoyaltiesExpense,Revenue
MinorityInterestInPreferredUnitHolders,Other
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,Other
ReceivableDeemedPastDueOrUncollectible,Assets
ClassOfWarrantsOrRightExchangedDuringPeriod,Other
PrepaidExpensesAndDeferredCost,Expenses
DamageClaimForAllegedUnpaidLicensingFee,Other
AccruedPayrollAndOtherLiabilitiesCurrent,Liabilities
WarrantsIssuedForFinancingShares,Equity
NetDividendsCommonStockMandatorilyRedeemableCapitalStock,Equity
VariableInterestEntityReportingEntityInvolvementMaximumLossExposureAdditionalAggregateAmountThatCouldBeRequired,Other
RetailBrokerageAndAdvisoryIncome,Other
AverageNumberOfOptionsContractsTraded,Other
FairValueLevel1toLevel2TransfersAmount,Other
EstimatedPercentOfCommonSharesHeldByAquiredEntityAfterMerger,Equity
GainLossOnSalesOfLoansNet,Revenue
SignificantVendorPercentage,Other
PercentageOfValuationAllowance,Other
GainOnLicenseFees,Other
NumberOfOperatingLeaseRenewalOptions,Other
OperatingandCapitalLeasesandPurchaseCommitmentsFutureMinimumPaymentsDueInThreeYears,Equity
ScheduleOfSharebasedCompensationStockOptionsActivityZeroThreeFiveFourFourZerozBdcdThreeRgTtOnes,Equity
CompanyEnteredAnAgreementToIssueThreeOneYearConvertibleNotes,Other
MaximumAmountOfCommercialLoansReceivableThirdPartyCreditScoringModelsUsedForRiskRating,Assets
DeferredTaxAssetsTaxDeferredExpense,Expenses
NumeratorForDilutedEpsNetIncomeLossFromContinuingOperationsAfterAssumedConversions,Income
TaxesPaidOnEmployeesRestrictedShareAwardVestings,Other
DueToFromAdviser,Other
BrazilMatterNumberofLawsuitsfiled,Other
SaleOfCommonStock,Equity
TierTwoRiskBasedCapitalToRiskWeightedAssets2019RegulatoryMinimumRationPlusCapitalConservationBuffer,Assets
MarketAndTerritoryAnalysis,Other
InterestExpenseDomesticDepositLiabilitiesWithdrawalPenalties,Expenses
GainLossOnInvestmentsExcludingOtherThanTemporaryImpairmentsTax,Expenses
Productionandnonproductiondepreciationandamortizationexpense,Expenses
DeferredTaxAssetsOperatingLossCarryforwardDomesticSubsidiary,Assets
IntellectualPropertyRightsOwnershipInterestToBeTransferredPercentage,Assets
PromissoryNoteWasIssuedInTheFaceAmount,Other
ComprehensiveIncomeNetOfTaxIncludingPortionsAttributableToNoncontrollingAndRedeemableInterest,Other
SBAGuaranteeFee,Other
FreshStartAdjustmentIncreaseDecreaseOtherLongTermDebt,Liabilities
CashReceivedInLieuOfDrillingServices,Assets
GoodwillWrittenOffRelatedToDisposalOfAssetsHeldForSale,Assets
WarrantPurchased,Other
IssueOfCommonStockForAcquiringLicenseValue,Equity
SharesHeldInEquityInvestmentSold,Assets
AmountHeldInTrustAccountUponClosingOfOffering,Other
ScheduleOfSharebasedCompensationStockOptionsActivityZeroThreeFourNineFourZeroxcnpfVsndwLT,Equity
FairValueAssetsMeasuredOnRecurringBasisGainLossIncludedInEarnings,Assets
PaymentsToAcquireCommercialRealEstate2,Cash Flow
PrincipalcollectionsoncreditrisktransferandnonAgencysecurities,Assets
PaymentsToAcquirePreciousMetals,Cash Flow
ScheduleOfSummaryOfConvertiblePromissoryNoteZeroThreeFiveThreeSixFourZeroThreeSixngEightcOneFkpwQSThree,Other
IncreaseDecreaseinAccountsReceivableandOtherAssetsIncludingRelatedParty,Assets
ShareBasedCompensationPercentageOfTargetAwardGrantedForCalculatingMaximumAggregateAwardOfPerformanceShare,Other
BorrowingsFromWorkingCapitalRevolvingCreditFacility,Equity
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageGrantDateFairValue,Cash Flow
DebtInstrumentConvertibleNumberOfLowestTradingPricesUsedToDetermineConversionPrice,Liabilities
OtherComprehensiveIncomeLossPensionLiabilityAdjustmentTaxAmount,Liabilities
StockCompensationExpenseOnStockAward,Expenses
UnderwritingAcquisitionAndInsuranceExpenses,Expenses
SharesOfCommonStockIssuanceToWarrants,Equity
WarrantsGrantedPrice,Other
MogollonOptionCosts,Expenses
CommitmentsAndContingenciesZeroThreeFiveTwoFiveZerowDrWcThreetkThreerSevenD,Other
ScheduleOfDisposalGroupsIncludingDiscontinuedOperationsCashFlowsDisclosuresZeroThreeFiveTwoSevenZerodGZeroThreerEightEightXkMCR,Assets
IncomeTaxZeroThreeFiveZeroZeroThreeNineNineNineThreeSZhrqbzJFTOne,Income
CompanyWillPayToTheLicensorAOneTimeFee1,Other
LesseeLeasingArrangementsOperatingLeasesAreaofLease,Other
MarketableSecuritiesRestrictedCurrent,Assets
IssuanceOfCommonStockValue,Equity
NetAmountRetained,Equity
SpecialVotingSharesValue,Equity
EquityMethodInvestmentsBasisAdjustments,Assets
GuarantyFees,Other
PlacementCostsRelatedToNotesPayableInGold,Expenses
NotionalAmountOfInterestRateDerivativesMaturingInYearFour,Other
SeriesAUepHoldingsLlcParValue,Other
IncreaseDecreaseRevenuePayable,Revenue
PaymentsForProceedsFromRentalOperations,Cash Flow
AtmAndCheckCardFeesExpenses,Expenses
RelatedPartyTransactionsZeroThreeFiveTwoSevenZeroSbpQngXRTggm,Other
BusinessCombinationContingentConsiderationLiabilityPayment,Liabilities
BusinessCombinationConsiderationTransferredRestrictedStockUnits,Equity
ScheduleOfEffectiveIncomeTaxRateReconciliationZeroThreeFourNineEightZerockrZSgwdSixRld,Income
InterestBearingDepositLiabilitiesMeasuredAtFairValue,Liabilities
LegalSettlementPayable,Liabilities
SeriesAConvertiblePreferredStockOutstanding,Equity
NumberOfConsecutiveNonpaymentsForTdrLoanToBeDeemedDefault,Cash Flow
MineralPropertyCostsZeroThreeFiveThreeSixZeropKCzcTMxvxTSeven,Expenses
FederalHomeLoanBankAdvancesMaturitiesSummaryAverageInterestRateFourToFiveYearsFromBalanceSheetDate,Other
ShorttermLoanZeroThreeFiveThreeSevenZerofBLlOneThreeJpkrFiveZero,Other
ValueOfCommonStockRepurchasedBuybackPlan,Equity
PrepaidCommissionToThirdPartyPaymentChannelsCurrent,Cash Flow
FinishedGoodsInventoryWithTitlePassedToCustomer,Assets
ScheduleOfCondensedBalanceSheetZeroThreeFiveThreeFourZeroyFourQJkzcKgtff,Other
NumberOfResortsManaged,Other
PercentageofRevenueCollectedforAdvertisingFund,Revenue
PercentageOfOwnershipOnOutstandingCommonStockRequiredToBecomeRelatedParty,Equity
BasisAdjustment,Other
DerivativeWarrantLiabilityFairValue,Liabilities
SettlementLiabilitiesAfterIssuanceOfSharesCashPaymentsAndAdjustment,Assets
ConvertiblePromissoryNotesZeroThreeFiveThreeSixFourZeroThreeSixsXvcZeroTvZNineLrk,Other
GeneralCorporateExpense,Expenses
BookValueCollateralOfGrossLoanForAssetSpecificFinancingAgreements,Assets
LiabilitiesSubjectToCompromiseOtherLiabilities,Liabilities
FiniteLivedIntangibleAssetsAndProductDevelopmentCostAmortizedAmount,Assets
ScheduleOfSegmentInformationZeroThreeFiveZeroThreeFourZeroZeroOneEightOneThreeqThreeLFouryGKyQ,Other
SegmentReportingInformationNetInterestIncomeIncludingFullyTaxableEquivalentAdjustment,Other
RevenueFromEnrollmentAndRegistrationFeesInProgram,Revenue
PaymentsForRepurchaseOfCommonTreasurySharesStockPlanExercises,Equity
PercentageReductioninCumulativeCashFlows,Assets
StockReceivedDuringPeriodValueForPaymentOfStockOptionExercises,Equity
MineralPropertiesCapitalizedCostsNet,Expenses
DealerManagerandDistributionFees,Other
ProportionalAmortizationMethodQualifiedAffordableHousingProjectInvestmentsNetIncomeTaxBenefit,Expenses
LongTermUnpaidClaims,Other
ProceedsFromSalesOfLoansAndLoansHeldforsale,Revenue
InterestOnObligationsUnderLeases,Liabilities
NumberOfProductCategoriesOfferedMinimum,Other
ScheduleOfCurrentRestrictedCashAndBondReservesZeroThreeFiveOneNineZeroyQWSevenLQhWLLmW,Assets
MembershipInterest,Other
BorrowingsUnderDebtObligations,Liabilities
TrustPreferredSecuritiesLiquidationValue,Assets
AdjustmentstoAdditionalPaidinCapitalSharebasedCompensationRestrictedStockUnitorRestrictedStockAwardVested,Equity
PreferredStockAccretionOfRedemptionDiscount,Equity
NonCashAccountsPayableAndAccruedExpensesConvertedToStock,Expenses
AccruedExpensesAndOtherPayablesZeroThreeFiveThreeEightZeroTwoVMTMzPrRJEightH,Expenses
GeneralAndAdministrativeExpenseExcludingRelatedPartyExpense,Expenses
NumberOfStatesThatIssuePropertyAndCasualtyPolicies,Assets
GoldenWideInternationalLimitedGWILHongKongALimitedLiabilityCompany,Liabilities
FutureSubleaseIncomeInYearFive,Other
ImpairmentOfLonglivedAssetsAndOtherIntangibleAssetsHeldforuse,Expenses
EffectOfDilutiveSecuritiesOnNetIncomeLoss,Assets
FairValueInputsControlPremium,Other
IssuanceOrCreditOfStockForServices,Equity
ProceedsFromIssuanceOfMortgageLoanParticipationCertificates,Cash Flow
LoansAndLeasesImpairedNonperformingAccrualAndNonaccrual,Other
DebtSecuritiesCarriedAtFairValueAmortizedCost,Assets
UnderwritersDiscountPercentage,Other
CommercialLoansForeign,Other
StandbyLettersOfCreditFairValueDisclosure,Other
Accruedvolumeincentivescurrent,Other
ExecutionAndClearing,Other
NumberOfTerritories,Other
ExpensesPaidOnBehalfOfCompanySubscriptionReceivable,Expenses
NetOperatingLossExpiringOnSpecifiedDateTwoIfNotUtilized,Other
SpinoffCostsIncludedinContinuingandDiscontinuedOperations,Expenses
NoncashInvestingAndFinancingStockIssuedNetOfWithholding,Assets
ReversalAllowanceForDoubtfulOtherReceivablesCurrent,Assets
ThresholdBeneficialOwnerPercentageDeterminingWithholdingIncomeTaxRate,Income
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1,Assets
SeriesFAdjustmentToTransferAgentRecords,Other
ChargebackReservesGoods,Other
OtherIncome,Other
CollateralPostingClearing,Other
WeightedAverageNumberofSharesOutstandingExchangeable,Equity
ScheduleOfConvertibleDebtZeroThreeFiveThreeThreeZeroRrxQvSMDLGpz,Liabilities
RelatedPartyTransactionDefinitionOfRelatedPartyCapitalStockPercentage,Equity
EquipmentAndVehiclesYardAndFieldDepreciableLivesFrom3To15Years,Assets
BalanceAtEndOfPeriod,Other
IncreaseDecreaseInManagementFeesRecivable,Other
TemporarilyImpairedAndOtherThanTemporarilyImpairedSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,Assets
ExpectedTerm,Other
OilPrice,Other
RepurchaseOfCommonStockOnAccount,Equity
MgpSiteContingencyCount,Other
FairValueOptionUnfundedLendingCommitmentsContractualAmount,Other
ProceedsFromIssuanceOfAssetBackedNotesNetOfOriginalIssueDiscount,Assets
NumberOfAdditionalDentalClinicsOpened,Other
DeferredTaxLiabilitiesEmployeeStockOptionPurchase,Liabilities
PercentageOfInterestAcquiredInASingleClinic,Other
NetIncomeLossAttributabletoConvertibleNoncontrollingInterest,Income
AvailableLinesOfCreditForLoansAndCreditCardsToAffiliates,Other
CapitalCommitments,Equity
AmortizationOfStockOptionExpense,Expenses
NonCashTransactionDuringPeriod,Assets
UnamortizedCompensationCostRelatedToUnvestedStockOptionAwards,Equity
PreferredStockSeriesAOutstanding,Equity
EmployeeStockOwnershipPlanSharesAllocatedDuringPeriod,Equity
UnamortizedDeferredFinanceCosts,Expenses
AdjustmentsToAdditionalPaidInCapitalWarrantIssuedForProfessionalServices,Equity
PercentageOfDeferredOriginationFees,Liabilities
EscrowDepositsOther,Other
ManagementAndOtherFeesFromAffiliates,Other
InvestmentinLowIncomeHousingProjects,Assets
StockRepurchasedAndRetiredOrNewlyIssuedDuringPeriodNetValue,Equity
ScheduleOfDisposalGroupsIncludingDiscontinuedOperationsIncomeStatementBalanceSheetAndAdditionalDisclosuresZeroThreeFiveZeroNineFourZeroZeroSevenEightmRMhJJgvNSixTwo,Other
ChangesInComponentsOfWorkingCapitalAssociatedWithInvestingActivities,Equity
ReduceRoyaltiesPercentageAfterNetSalesOfLicensedProducts,Revenue
ConvertibleLoanAgreementsZeroThreeFiveZeroThreeZeroZLZxWdtZeroxZMr,Other
FairValueLevel1ToLevel3TransfersAmount,Other
HealthCareBenefitsEligibleEmployeeNumberOfPointsMinimum,Other
OwnershipInterestInSubsidiary,Other
GasRevenue,Revenue
EquitySecuritiesandPreferredStockUnrealizedAppreciationDepreciation,Expenses
NonFarmNonResidential,Other
ScheduleOfIncomeBeforeIncomeTaxDomesticAndForeignZeroThreeFiveFourFourZeroTwoHgrWsSevengQpPSeven,Income
DisposalGroupIncludingDiscontinuedOperationDueToRelatedParty,Other
PercentageOfOccupancyUnderConditionTwo,Other
IncreaseDecreaseInAccruedExpensesAndOtherCurrentLiabilitiesRelatedParties,Expenses
ReturnOnAverageAssets,Assets
FiberMiles,Other
Franchisefeesexpectedcumulativecatchupadjustment,Other
InvestmentsDistributions,Assets
PaymentsOfDividends,Equity
TroubledDebtFinancingReceivableModificationPerformingAccordingToModifiedTerms,Assets
IncreaseDecreaseInAccountsReceivableCurrentAndNoncurrent,Assets
DisposalGroupIncludingDiscontinuedOperationGovernmentSubsidiesCurrent,Other
DerivativeFairValueOfDerivativeAssetNotOffsetAgainstDerivativeAssets,Assets
BankServiceCharges,Other
InterestbearingTimeDeposits250000orMore,Other
CashCollateralfromDerivativeCounterparty,Assets
GuaranteeObligationsMaximumExposureCollateralized,Liabilities
GainLossOnDispositionOfBusinessAndInvestment,Assets
ForeclosedRealEstateExpenseIncome,Expenses
PercentageOfAssetsLiabilitiesRevenuesExpensesAndCashFlowsConsolidatedAndDiscussed,Revenue
CovenantsLimitAmountOfSecuredIndebtednessThatWeMayIncurAndLimitAmountOfAttributableDebtInSaleLeasebackTransactionsToPercentageOfNetTangibleAssets,Assets
PerformingAndNonperformingLoans,Other
ResidentialMortgageLoansServicedForThirdParties,Other
NetIncomeLossIncludingPortionAttributableToNoncontrollingInterestBeforeAllocationToTemporaryEquities,Income
IntangibleLiabilitiesNonCurrentNetExcludingGoodwill,Assets
ProceedsFromRepaymentsOfIntercompanyShortTermBorrowings,Cash Flow
ScheduleOfAllowanceForDoubtfulAccountsZeroThreeFiveFourFourZeroNMPzzSevenxFournDBX,Other
OtherPayablesToAffiliatedCompanies,Liabilities
OptionsOutstandingContractualLifeInYears,Other
CommissionsAndAmortizationOfDeferredPolicyAcquisitionCosts,Expenses
DebtInstrumentInterestRateEffectivePercentage7,Liabilities
NoncashorPartNoncashAcquisitionFederalHomeLoanBankStock,Assets
ManagementFeesPayable,Liabilities
AccretionOfOtherComprehensiveIncomeLossTransfersFromAvailableForSaleSecuritiesToHeldToMaturityTax,Revenue
NumberOfParcelsOfLandHeldForSale,Other
NonimpairedPurchasedLoansCarryingValueCovered,Other
RevenuefromBeginningDeferredRevenue,Revenue
LoansAndLeasesReceivableNetOfDeferredIncomeExcludingAcquiredLoans,Assets
DecreaseInFairValueOfContingentConsiderationFromProbabilityAdjustedRevenue,Revenue
PaymentsForExpensesRelatedToSaleOfBuildings,Expenses
ScheduleOfSegmentReportingInformationBySegmentFromContinuingOperationsZeroThreeFiveThreeFourZeroxdgsTwokDSevenynJq,Other
WholesaleRevenue,Revenue
RecoveryOfLoanLosses,Other
ProceedsfromPaymentforSettlementofDerivatives,Cash Flow
NetSettlementOfRestrictedCommonStock,Equity
MutualFundsEquity,Equity
AgingAccountsReceivable4To6MonthsPastDue,Assets
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZerobpBKNGlwKrCb,Cash Flow
AvailableForSaleSecuritiesGrossUnrealizedLossesPercentage,Revenue
NetProceedsFromFactor,Cash Flow
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,Liabilities
PaymentsToInvestInDecommissioningFund,Cash Flow
LongTermDebtWeightedAverageMaturityInYears,Liabilities
PotentialAntidilutiveSecuritiesExcludedfromFutureComputationsofEarningsAmount,Assets
PaymentsForInterestBearingDepositsInOtherBanks,Cash Flow
CompanyIssuedSharesOfItRestrictedCommonStockAtAFairValue,Equity
SharesOfSanLotusHoldingIncBviCompanyAcquired,Equity
OnlineGameServicesRevenue,Revenue
LimitedPartnersCapitalAccountClassHUnits,Equity
OtherInvestmentSecuritiesatCostAmortizedCostBasis,Assets
Effectiveincometaxratereconciliationforeignpermanentdifferencesamount,Income
FairValueOptionLiabilitiesFairValueBalance,Liabilities
OtherLongTermAssetsCondensedConsolidating,Assets
ConvertibleDebenturesAndDeferredFinancingCostsZeroThreeFiveZeroTwoZerocZeroPXmFiveCkJTwoNg,Expenses
PaymentsforDeferredProjectCosts,Expenses
StockIssuedDuringPeriodSharesNewIssuesEmployeeExchange,Equity
RepaymentsOfPremiumToRedeemBonds,Cash Flow
MarketableSecuritiesGrossUnrealizedLosses2,Assets
IncreaseDecreaseInCustomerPayables,Liabilities
OtherComprehensiveIncomeLossEffectsOfDeferredPolicyAcquisionCostsAndCostsOfCustomerRelationshipsAcquiredNetOfTaxPortionAttributableToParent,Expenses
CommonStockTenderedAsConsideration,Equity
OtherComprehensiveIncomeLossAmortizationOfUnrealizedGainLossOnSecuritiesTransferredToHeldToMaturity,Expenses
AdditionalPaymentThatCanBeTriggeredDuringInitialFiveYearsFollowingTransactionPaymentSix,Cash Flow
PrepaidReinsurancePremiums,Other
TaxCreditsReceivableNoncurrent,Assets
AssetsContinuingOperations,Assets
IncreaseDecreaseInBillingsExcessOfCostsAndEstimatedEarnings,Expenses
ResearchAndDevelopmentCost,Cost
Initialunamortizeddebtdiscountatissuance,Liabilities
PurchasePriceAndIndemnificationRelatedToPurchaseOfSubsidiary,Cash Flow
CommonStockIssuedToAnnihilyzerPricePerShare,Equity
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFavorableUnfavorableLease,Assets
PropertyPlantAndEquipmentGrossExcludingConstructionInProgress,Assets
ProceedsFromIssuanceOfContingentlyRedeemableEquity,Equity
UnrecognizedCompensationExpenseRelatedToTheOptionsIssuedInDecember2014,Expenses
CapitalInvestment,Assets
BulkRevenue,Revenue
PercentageOfLongLivedAssetsByGeographicSegment,Assets
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareDueToLossIncurredAmount,Assets
StatutoryAccountingPracticesDividendsPaidWithApprovalOfRegulatoryAgency,Equity
PaymentsToAcquireInterestInJointVentureAdditionalInvestment,Assets
AllowanceForLoansRecoveriesOfBadDebtsTDR,Liabilities
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccountsAndDeferredRevenue,Revenue
IntangibleAssetsWrittenoffRelatedtoSaleofBusinessUnit,Assets
CommonSharesAndWarrantsZeroThreeFourNineSixZerozSNineGTwoFcTtbFiver,Equity
PostretirementLiabilityActivity,Liabilities
SharesIssuedForExerciseOfWarrant,Equity
ScheduleOfShorttermDebtZeroThreeFiveTwoFiveZeroZeroFKkPFourTEightGJsEight,Liabilities
